neighborhood,year_month,total_fire_count,count_fire_building,count_fire_electrical,count_fire_gas,count_fire_water,total_fire_injuries,avg_suppression_units
Haight Ashbury,2024-03,4,0,2,1,1,0,1.5
Haight Ashbury,2024-04,6,0,2,2,2,0,1.6666666666666667
Haight Ashbury,2024-05,5,2,0,2,1,0,4.8
Haight Ashbury,2024-06,7,2,5,0,0,0,3.2857142857142856
Haight Ashbury,2024-07,4,0,1,2,1,0,2.0
Haight Ashbury,2024-08,5,0,2,0,3,0,1.2
Haight Ashbury,2024-09,5,1,3,0,1,0,2.4
Haight Ashbury,2024-10,3,0,0,1,2,0,3.0
Haight Ashbury,2024-12,7,0,3,1,3,0,1.1428571428571428
Haight Ashbury,2025-01,7,1,4,1,1,0,1.5714285714285714
Haight Ashbury,2025-02,4,0,1,1,2,0,1.5
Haight Ashbury,2025-03,7,0,4,3,0,0,1.8571428571428572
Haight Ashbury,2025-04,3,2,0,1,0,0,3.6666666666666665
Haight Ashbury,2025-05,4,0,1,3,0,0,2.5
Haight Ashbury,2025-06,6,1,2,3,0,0,3.3333333333333335
Haight Ashbury,2025-07,4,0,1,1,2,0,1.0
Haight Ashbury,2025-08,3,0,0,3,0,0,1.6666666666666667
Haight Ashbury,2025-09,1,0,0,1,0,0,2.0
Haight Ashbury,2025-10,3,1,0,1,1,0,4.333333333333333
Haight Ashbury,2025-11,3,0,1,1,1,0,1.6666666666666667
Haight Ashbury,2025-12,3,1,1,0,1,0,5.666666666666667
Hayes Valley,2024-01,2,0,0,2,0,0,3.0
Hayes Valley,2024-02,10,0,6,1,3,0,1.2
Hayes Valley,2024-03,5,0,4,0,1,0,1.0
Hayes Valley,2024-04,8,1,2,3,2,0,2.5
Hayes Valley,2024-05,6,3,1,1,1,2,6.666666666666667
Hayes Valley,2024-06,4,0,1,0,3,0,2.0
Hayes Valley,2024-07,5,0,1,1,3,0,1.4
Hayes Valley,2024-08,8,1,3,2,2,0,1.5
Hayes Valley,2024-09,5,0,2,3,0,0,2.2
Hayes Valley,2024-10,1,0,0,0,1,0,1.0
Hayes Valley,2024-11,6,1,1,2,2,0,3.3333333333333335
Hayes Valley,2024-12,6,0,1,2,3,0,2.0
Hayes Valley,2025-01,10,1,4,4,1,0,3.2
Hayes Valley,2025-02,5,0,1,2,2,0,2.6
Hayes Valley,2025-03,6,0,2,1,3,0,1.8333333333333333
Hayes Valley,2025-04,5,0,2,1,2,0,1.6
Hayes Valley,2025-05,7,1,3,1,2,0,3.2857142857142856
Hayes Valley,2025-06,9,2,6,1,0,0,3.2222222222222223
Hayes Valley,2025-07,5,1,3,1,0,0,2.4
Hayes Valley,2025-08,2,0,0,1,1,0,2.0
Hayes Valley,2025-09,10,2,0,6,2,0,3.9
Hayes Valley,2025-10,6,3,1,1,1,0,7.666666666666667
Hayes Valley,2025-11,6,1,1,4,0,0,4.0
Hayes Valley,2025-12,5,1,1,1,2,0,4.2
