neighborhood,year_month,total_311_count,count_street_pavement,count_sidewalk_curb,count_sewer_drainage,count_streetlights,count_traffic_signs,count_trees,distinct_issue_groups,avg_closure_days
Lone Mountain/USF,2025-11,58,6,3,11,1,28,1,8,13.00730922733078
Lone Mountain/USF,2025-12,56,4,7,22,1,11,4,8,9.622497933201059
Marina,2024-01,53,4,4,23,0,12,10,5,10.504507119147448
Marina,2024-02,92,11,6,43,0,16,16,5,4.862638511473429
Marina,2024-03,42,4,12,11,0,10,5,5,8.952119157848324
Marina,2024-04,20,1,10,2,0,6,1,5,8.637265625000001
Marina,2024-05,14,4,0,2,0,7,1,4,4.6648660714285715
Marina,2024-06,47,12,8,7,3,4,5,8,23.627210133744857
Marina,2024-07,66,4,14,10,3,4,10,8,26.985756054131052
Marina,2024-08,58,1,17,5,2,2,12,9,28.781989725471085
Marina,2024-09,80,4,13,15,4,9,7,8,18.98403197337963
Marina,2024-10,99,10,12,17,12,3,10,9,23.516381566515495
Marina,2024-11,92,7,6,29,4,10,12,8,10.977172237484737
Marina,2024-12,94,7,9,24,11,14,15,8,19.957521367521366
Marina,2025-01,73,10,16,17,5,3,8,8,30.88194380144033
Marina,2025-02,91,11,13,31,7,7,12,8,18.36069365530303
Marina,2025-03,108,8,20,29,2,15,15,8,28.98981577932099
Marina,2025-04,108,8,40,15,2,14,13,8,41.18417493386243
Marina,2025-05,135,6,69,17,4,17,7,8,43.20522848079561
Marina,2025-06,110,9,42,8,3,13,8,9,32.931078512572206
Marina,2025-07,93,8,25,19,4,9,10,8,27.066367250402575
Marina,2025-08,129,24,29,19,7,15,5,8,20.97992965834051
Marina,2025-09,79,11,10,13,0,16,11,7,21.505828222703222
Marina,2025-10,130,25,28,38,2,11,10,9,12.701040410565605
Marina,2025-11,109,13,44,23,7,9,6,8,13.75354283469249
Marina,2025-12,132,16,31,47,2,5,13,8,8.210267450142451
McLaren Park,2024-01,5,2,0,0,0,0,3,2,6.919990740740741
McLaren Park,2024-02,7,2,0,0,0,0,5,2,15.077184193121692
McLaren Park,2024-03,7,2,0,2,0,1,2,4,16.015978835978835
McLaren Park,2024-04,4,1,0,0,0,1,2,3,8.841021412037037
McLaren Park,2024-05,5,0,1,2,0,2,0,3,8.159425925925927
McLaren Park,2024-06,7,0,4,0,0,2,1,3,43.5940625
McLaren Park,2024-07,7,1,2,1,0,1,1,6,80.79132936507936
McLaren Park,2024-08,7,2,3,1,0,0,1,4,49.98146825396826
McLaren Park,2024-09,3,0,0,1,0,1,1,3,16.52864197530864
McLaren Park,2024-10,2,0,1,0,0,0,1,2,0.5783449074074074
McLaren Park,2024-11,2,2,0,0,0,0,0,1,
McLaren Park,2024-12,16,1,8,0,1,2,3,6,19.293157552083333
McLaren Park,2025-01,13,4,7,0,0,0,2,3,39.63005698005698
McLaren Park,2025-02,27,4,17,2,1,2,1,6,7.193845164609053
McLaren Park,2025-03,9,2,1,2,1,0,3,5,38.13102237654321
McLaren Park,2025-04,7,1,0,1,0,1,4,4,48.01362433862433
McLaren Park,2025-05,5,1,0,0,0,1,2,4,23.962229166666667
McLaren Park,2025-06,8,1,1,0,1,3,2,5,11.52787037037037
McLaren Park,2025-07,4,1,0,2,0,0,1,3,15.11662037037037
McLaren Park,2025-08,4,1,0,1,0,0,2,3,22.464678819444444
McLaren Park,2025-09,2,0,0,2,0,0,0,1,2.4975868055555557
McLaren Park,2025-10,7,0,3,3,1,0,0,3,20.522761243386242
McLaren Park,2025-11,3,0,0,1,2,0,0,2,0.8841358024691358
McLaren Park,2025-12,6,1,0,1,1,2,1,5,17.27511574074074
Mission,2024-01,251,22,44,76,0,73,36,5,14.797787876272686
Mission,2024-02,296,39,38,76,0,68,75,5,14.867002588526026
Mission,2024-03,197,35,38,25,0,82,17,5,12.034902413517578
Mission,2024-04,195,25,34,16,0,106,14,5,6.956965930674264
Mission,2024-05,181,25,45,33,0,62,16,5,3.9518989794352364
Mission,2024-06,197,24,42,17,9,51,19,8,23.89618566001899
Mission,2024-07,300,19,72,54,19,57,29,8,31.31734561428039
Mission,2024-08,302,30,52,54,22,52,31,9,26.800583419067216
Mission,2024-09,280,20,57,71,23,33,20,9,19.368681758595514
Mission,2024-10,276,21,61,41,25,45,14,8,25.254252815086147
Mission,2024-11,327,20,75,81,21,37,31,9,24.446817310474536
Mission,2024-12,479,17,94,63,38,74,111,8,25.82753885933806
Mission,2025-01,355,30,101,40,16,93,18,9,22.85383744855967
Mission,2025-02,464,26,78,68,19,178,26,8,22.099416526070538
Mission,2025-03,500,27,117,51,19,189,28,8,21.523903630114017
Mission,2025-04,507,26,131,39,19,182,31,8,25.001154324055666
Mission,2025-05,569,33,164,50,17,168,35,9,16.97393573034085
Mission,2025-06,554,36,153,62,9,153,37,9,16.537747490875912
Mission,2025-07,462,69,106,22,14,131,28,8,15.046998677248677
Mission,2025-08,529,71,81,45,28,163,38,8,10.52380034051909
Mission,2025-09,463,69,52,42,33,155,23,8,12.057857757922037
Mission,2025-10,493,67,71,89,17,149,35,9,9.606229535695116
Mission,2025-11,345,36,37,59,18,109,30,8,8.790890046296296
Mission,2025-12,458,51,83,94,23,104,37,8,8.500627569190069
Mission Bay,2024-01,22,1,6,4,0,10,1,5,9.581548821548822
Mission Bay,2024-02,34,9,5,9,0,6,5,5,5.304140114379085
Mission Bay,2024-03,24,5,4,5,0,6,4,5,13.783625578703704
Mission Bay,2024-04,19,2,6,4,0,5,2,5,9.43942921539961
Mission Bay,2024-05,16,4,8,1,0,2,1,5,3.7912572337962964
Mission Bay,2024-06,34,2,8,1,0,5,6,7,19.84468409586057
Mission Bay,2024-07,50,5,4,5,5,11,2,8,17.139749305555554
Mission Bay,2024-08,44,5,12,3,2,10,1,8,51.89210675064599
Mission Bay,2024-09,60,4,17,4,3,6,6,8,33.75345319365976
Mission Bay,2024-10,48,2,12,4,6,10,2,8,23.25243031442901
Mission Bay,2024-11,47,4,9,9,4,4,6,8,31.222547527580776
Mission Bay,2024-12,31,2,6,3,1,3,4,8,32.91723342293907
Mission Bay,2025-01,57,6,6,5,26,4,4,8,14.036475999025342
Mission Bay,2025-02,33,6,4,3,8,3,2,8,16.644083839699075
Mission Bay,2025-03,34,4,9,2,4,5,1,7,29.18630140250545
Mission Bay,2025-04,37,5,6,3,4,2,2,8,16.28411473973974
Mission Bay,2025-05,44,5,18,1,2,7,4,8,17.354258470117845
Mission Bay,2025-06,40,0,9,0,2,5,8,6,16.025944733796297
Mission Bay,2025-07,44,3,6,0,6,14,5,7,17.139999473905725
Mission Bay,2025-08,49,6,3,0,16,9,1,7,9.38133597883598
Mission Bay,2025-09,49,2,2,3,5,14,4,8,15.09736111111111
Mission Bay,2025-10,68,11,13,3,2,16,6,8,12.009965107570807
Mission Bay,2025-11,39,5,7,5,5,5,1,8,10.870917319563153
Mission Bay,2025-12,59,8,5,11,3,13,1,8,9.101765046296297
Nob Hill,2024-01,41,2,7,10,0,4,18,5,9.65829268292683
Nob Hill,2024-02,53,3,10,15,0,2,23,5,7.350773497554158
Nob Hill,2024-03,36,4,11,10,0,6,5,5,9.146756044238682
Nob Hill,2024-04,27,1,9,4,0,8,5,5,6.813220593278464
Nob Hill,2024-05,24,5,3,6,0,8,2,5,5.010442226080247
Nob Hill,2024-06,39,3,5,11,1,4,7,8,15.59795230263158
Nob Hill,2024-07,52,0,11,7,5,6,12,7,24.292365117521367
Nob Hill,2024-08,80,6,6,17,9,17,8,8,31.35615443969611
Nob Hill,2024-09,110,15,36,11,6,13,5,8,37.06620561501869
Nob Hill,2024-10,81,2,31,13,7,7,5,8,22.436845993369914
Nob Hill,2024-11,65,7,5,16,7,3,6,8,17.34462601273148
Nob Hill,2024-12,89,8,18,28,5,6,1,8,18.43264322916667
Nob Hill,2025-01,87,7,14,17,11,19,4,8,26.452312686249467
Nob Hill,2025-02,85,14,13,12,7,9,6,8,16.63249400379295
Nob Hill,2025-03,110,16,20,19,6,16,7,8,21.435181923400673
Nob Hill,2025-04,70,6,17,9,3,19,5,8,18.761671849087897
Nob Hill,2025-05,74,8,16,14,2,15,3,9,24.978863045408424
Nob Hill,2025-06,114,9,18,16,1,26,11,8,14.678350177744708
Nob Hill,2025-07,222,132,24,13,1,29,4,8,22.386077344546383
Nob Hill,2025-08,168,106,15,8,1,10,4,8,20.57270681768078
Nob Hill,2025-09,225,112,17,16,4,17,7,8,9.414075199331275
Nob Hill,2025-10,113,38,11,25,6,10,3,8,11.686765873015872
Nob Hill,2025-11,79,21,10,16,7,7,2,8,8.188436758072175
Nob Hill,2025-12,92,17,11,28,7,10,8,8,6.512773071835571
Noe Valley,2024-01,60,7,5,27,0,13,8,5,11.636245949074073
Noe Valley,2024-02,110,8,10,36,0,13,43,5,10.991475484006733
Noe Valley,2024-03,35,11,5,9,0,6,4,5,9.387201719576721
Noe Valley,2024-04,49,6,16,6,0,14,7,5,9.191112292139078
Noe Valley,2024-05,32,5,5,8,0,7,7,5,4.358200954861111
Noe Valley,2024-06,37,8,7,7,0,4,6,7,13.635424704218106
Noe Valley,2024-07,71,8,13,14,2,10,9,8,22.35999429447053
Noe Valley,2024-08,73,9,15,13,2,12,11,8,33.51509195839675
Noe Valley,2024-09,105,4,35,31,1,10,5,8,24.533037808641975
Noe Valley,2024-10,87,10,17,23,1,8,13,8,21.31236941721133
Noe Valley,2024-11,96,1,14,41,2,5,22,8,15.130172027290449
Noe Valley,2024-12,92,7,8,42,7,10,11,8,15.80884996947497
Noe Valley,2025-01,91,11,16,29,6,9,11,8,25.45822279442364
Noe Valley,2025-02,94,9,16,29,5,9,16,9,32.214884007648955
Noe Valley,2025-03,78,8,23,13,2,13,9,8,37.58958199786325
Noe Valley,2025-04,87,21,9,18,6,14,14,8,41.40197996487867
Noe Valley,2025-05,135,23,21,26,2,23,24,8,24.122666214146477
Noe Valley,2025-06,87,15,8,17,0,19,19,7,11.12067741592167
Noe Valley,2025-07,116,20,12,19,4,36,9,8,14.459844620616192
Noe Valley,2025-08,129,25,11,18,5,31,15,8,11.112628148148147
Noe Valley,2025-09,137,35,14,16,1,36,10,9,17.279679725049476
Noe Valley,2025-10,134,20,18,49,8,23,6,9,8.434663910093299
Noe Valley,2025-11,80,17,12,20,2,16,9,8,8.024319034224098
Noe Valley,2025-12,147,18,13,49,8,36,10,9,7.705034402937421
North Beach,2024-01,35,0,5,12,0,12,6,4,23.218925595238094
North Beach,2024-02,41,1,7,13,0,9,11,5,6.564977416440832
North Beach,2024-03,20,0,2,1,0,11,6,4,4.661984953703704
North Beach,2024-04,19,4,4,4,0,2,5,5,6.170270467836257
North Beach,2024-05,25,1,6,11,0,5,2,5,4.776300462962963
North Beach,2024-06,23,2,3,3,1,5,5,8,10.754276368760065
North Beach,2024-07,40,6,6,8,3,5,7,8,23.234773726851852
North Beach,2024-08,50,5,2,21,2,4,6,8,25.963005555555554
North Beach,2024-09,41,5,7,14,0,6,2,7,18.93798667570009
North Beach,2024-10,58,7,10,15,2,2,12,8,27.451759056205326
North Beach,2024-11,47,1,4,26,1,3,8,8,16.03665836352657
North Beach,2024-12,37,0,7,9,1,7,8,7,14.650221471471472
North Beach,2025-01,41,7,7,6,7,0,2,7,38.1523831300813
North Beach,2025-02,53,6,13,20,3,4,3,8,27.230925052410903
North Beach,2025-03,68,7,12,22,2,9,7,9,24.2269909161055
North Beach,2025-04,43,5,8,10,3,7,8,7,31.251210593033512
North Beach,2025-05,41,6,7,9,0,8,3,7,28.937007359924028
North Beach,2025-06,52,8,4,12,1,12,9,8,14.576837037037038
North Beach,2025-07,71,12,7,12,1,5,9,8,24.152002477829942
North Beach,2025-08,50,7,2,11,0,9,4,7,11.808122874149658
North Beach,2025-09,61,6,9,15,3,13,3,8,12.719081332391713
North Beach,2025-10,57,12,4,18,3,6,4,8,6.522877604166666
North Beach,2025-11,53,5,13,19,1,4,4,8,8.398277021011396
North Beach,2025-12,70,6,7,24,9,6,5,8,7.8634409722222225
Oceanview/Merced/Ingleside,2024-01,38,7,5,18,0,4,4,5,11.784256518031189
Oceanview/Merced/Ingleside,2024-02,71,12,3,25,0,3,28,5,11.616282113980178
Oceanview/Merced/Ingleside,2024-03,25,3,4,7,0,5,6,5,12.278405092592592
Oceanview/Merced/Ingleside,2024-04,8,2,1,3,0,0,2,4,9.09271122685185
Oceanview/Merced/Ingleside,2024-05,27,10,4,6,0,2,5,5,3.7530658436213993
Oceanview/Merced/Ingleside,2024-06,26,4,7,9,1,2,2,7,11.399702635327635
Oceanview/Merced/Ingleside,2024-07,62,8,9,23,2,11,4,8,24.571015158303464
Oceanview/Merced/Ingleside,2024-08,44,4,12,6,4,6,7,8,33.535949863215485
Oceanview/Merced/Ingleside,2024-09,48,4,6,16,2,7,9,8,45.94621653582931
Oceanview/Merced/Ingleside,2024-10,65,7,10,15,12,6,7,9,47.461866549088775
Oceanview/Merced/Ingleside,2024-11,64,13,3,26,4,5,7,9,32.04811122134039
Oceanview/Merced/Ingleside,2024-12,55,7,14,17,4,4,5,8,16.459026725589226
Oceanview/Merced/Ingleside,2025-01,56,8,8,14,9,5,4,9,16.55450562169312
Oceanview/Merced/Ingleside,2025-02,61,6,7,10,10,6,9,8,26.23805460686096
Oceanview/Merced/Ingleside,2025-03,51,5,6,18,2,8,8,8,21.265308012093726
Oceanview/Merced/Ingleside,2025-04,49,7,6,9,4,7,9,9,50.55878094293273
Oceanview/Merced/Ingleside,2025-05,45,7,6,13,3,3,5,9,9.823901539621016
Oceanview/Merced/Ingleside,2025-06,41,5,8,12,4,4,6,7,18.371967028003613
Oceanview/Merced/Ingleside,2025-07,80,3,6,13,7,43,2,8,8.168862664088138
Oceanview/Merced/Ingleside,2025-08,87,7,7,24,3,42,2,8,31.99571452476573
Oceanview/Merced/Ingleside,2025-09,57,7,4,12,7,16,7,8,13.150753156565656
Oceanview/Merced/Ingleside,2025-10,72,9,19,18,8,14,2,8,15.139053442028985
Oceanview/Merced/Ingleside,2025-11,77,4,28,16,7,18,1,8,16.487711074561403
Oceanview/Merced/Ingleside,2025-12,74,4,9,29,12,8,9,8,6.8088968656156155
Outer Mission,2024-01,50,9,3,17,0,11,10,5,9.411616435185186
Outer Mission,2024-02,80,23,11,28,0,3,15,5,13.348632233796298
Outer Mission,2024-03,31,13,2,9,0,6,1,5,6.18539538530466
Outer Mission,2024-04,26,2,2,3,0,14,5,5,6.290797720797721
Outer Mission,2024-05,24,6,3,5,0,7,3,5,3.0503510802469136
Outer Mission,2024-06,29,4,6,6,0,8,2,7,21.642056464947093
Outer Mission,2024-07,50,7,10,16,3,5,0,7,35.22737384259259
Outer Mission,2024-08,52,3,5,19,8,6,4,8,31.36539488017429
Outer Mission,2024-09,42,0,6,15,5,8,2,7,25.962037863756613
Outer Mission,2024-10,65,6,12,14,6,10,9,8,30.10185754985755
Outer Mission,2024-11,98,6,20,36,3,11,10,8,19.359600881123058
Outer Mission,2024-12,69,9,14,17,6,10,6,8,24.92769592055824
Outer Mission,2025-01,78,5,20,23,3,5,6,8,28.503445216049386
Outer Mission,2025-02,75,8,12,24,2,8,8,8,19.130497685185187
Outer Mission,2025-03,76,3,18,16,5,10,12,8,29.893550308641977
Outer Mission,2025-04,84,11,24,13,3,11,10,8,46.363012327086125
Outer Mission,2025-05,113,15,15,20,7,22,18,8,20.090826675680102
Outer Mission,2025-06,75,12,20,16,3,7,7,8,19.141119087837836
Outer Mission,2025-07,79,12,11,17,2,25,6,8,13.077382695195196
Outer Mission,2025-08,89,17,13,16,2,26,8,9,14.835127446338385
Outer Mission,2025-09,73,17,9,18,1,7,8,8,12.772862871674493
Outer Mission,2025-10,88,15,17,26,7,14,4,8,13.601651409932659
Outer Mission,2025-11,81,14,7,20,7,16,5,8,11.286044238683127
Outer Mission,2025-12,116,17,20,49,4,4,11,8,6.969764090177134
Outer Richmond,2024-01,88,4,7,43,0,24,10,5,11.449489030934343
Outer Richmond,2024-02,98,7,5,37,0,19,30,5,9.288355418556312
Outer Richmond,2024-03,51,6,10,12,0,9,14,5,6.999708832607117
Outer Richmond,2024-04,59,14,12,16,0,7,10,5,8.529873469868173
Outer Richmond,2024-05,45,6,7,7,0,13,12,5,6.484129886831275
Outer Richmond,2024-06,79,4,12,26,2,10,17,9,20.40149475308642
Outer Richmond,2024-07,75,13,11,23,2,12,6,8,33.35369572697698
Outer Richmond,2024-08,119,13,12,34,8,17,6,9,35.65789930555556
Outer Richmond,2024-09,112,12,9,35,1,22,2,9,18.1105824239418
Outer Richmond,2024-10,131,16,8,44,11,19,12,8,22.745750901187446
Outer Richmond,2024-11,148,10,14,52,13,21,18,8,13.107438001813001
Outer Richmond,2024-12,192,19,14,64,12,26,31,8,17.022241837231967
Outer Richmond,2025-01,116,13,20,36,5,20,7,9,24.941851147342998
Outer Richmond,2025-02,119,10,18,30,7,20,18,8,17.759215732826846
Outer Richmond,2025-03,127,25,17,25,4,21,13,9,30.710867222222223
Outer Richmond,2025-04,127,17,29,34,1,24,11,9,25.08809689153439
Outer Richmond,2025-05,139,18,16,34,4,30,8,8,10.760945660138555
Outer Richmond,2025-06,143,13,12,41,4,40,4,8,9.17643040986791
Outer Richmond,2025-07,161,28,19,58,4,24,8,8,12.567499638310185
Outer Richmond,2025-08,142,14,46,43,4,6,9,8,14.064001017861834
Outer Richmond,2025-09,148,20,20,45,6,13,8,9,9.759009000259
Outer Richmond,2025-10,193,33,23,83,12,13,8,8,7.218273775077161
Outer Richmond,2025-11,146,24,20,45,8,22,10,9,12.874785483257229
Outer Richmond,2025-12,144,17,16,51,12,20,9,8,7.279138757551878
Pacific Heights,2024-01,51,7,4,26,0,7,7,5,20.52492510893246
Pacific Heights,2024-02,92,6,6,44,0,14,22,5,10.571293151167472
Pacific Heights,2024-03,37,3,7,5,0,16,6,5,6.1933796296296295
Pacific Heights,2024-04,23,3,4,2,0,2,12,5,5.104272846215781
Pacific Heights,2024-05,28,10,6,2,0,8,2,5,5.276417824074074
Pacific Heights,2024-06,30,2,2,6,0,6,3,7,13.229668209876543
Pacific Heights,2024-07,55,11,13,4,0,6,6,7,45.02203617969822
Pacific Heights,2024-08,60,5,18,10,1,2,4,8,27.906233796296295
Pacific Heights,2024-09,82,12,24,5,2,7,4,8,28.822287149954835
Pacific Heights,2024-10,73,13,16,7,1,4,7,9,37.51846830985916
Pacific Heights,2024-11,91,3,15,33,10,7,8,8,17.658576517489713
Pacific Heights,2024-12,102,7,13,33,6,8,16,8,16.509693287037038
Pacific Heights,2025-01,65,10,14,8,4,5,8,8,51.09892467948718
Pacific Heights,2025-02,84,11,14,21,0,10,10,7,19.27298304328425
Pacific Heights,2025-03,70,0,17,15,1,16,10,7,24.144458167989416
Pacific Heights,2025-04,90,12,15,17,0,24,4,7,20.69975887345679
Pacific Heights,2025-05,94,15,18,11,2,20,7,8,15.85365766178266
Pacific Heights,2025-06,94,13,13,10,5,22,6,8,22.2186969832736
Pacific Heights,2025-07,105,23,19,8,4,35,5,8,18.21115685096154
Pacific Heights,2025-08,112,39,9,11,2,29,6,8,18.468002735690238
Pacific Heights,2025-09,81,11,13,9,3,14,6,8,14.815549616228068
Pacific Heights,2025-10,97,10,14,32,2,21,2,8,15.659339800496374
Pacific Heights,2025-11,94,18,23,32,2,5,1,8,13.011464623590983
Pacific Heights,2025-12,157,18,12,61,1,32,13,8,7.0905945340501795
Portola,2024-01,32,8,7,10,0,3,4,5,17.49509910300926
Portola,2024-02,41,10,2,18,0,3,8,5,13.762997685185185
Portola,2024-03,27,11,11,2,0,3,0,4,11.104155521262001
Portola,2024-04,23,3,4,4,0,10,2,5,12.693373590982286
Portola,2024-05,36,5,13,3,0,14,1,5,6.827999614197531
Portola,2024-06,32,5,9,4,0,6,4,7,51.570722294560184
Portola,2024-07,76,6,38,16,3,4,7,8,20.105923184697858
Portola,2024-08,105,6,61,9,3,8,14,8,43.99035935274216
Portola,2024-09,80,4,32,17,2,22,1,7,21.319047019675928
Portola,2024-10,80,5,42,15,4,6,3,8,27.40170798171589
Portola,2024-11,102,3,52,29,5,4,7,8,15.798212092042537
Portola,2024-12,111,12,73,11,4,4,4,8,22.855383717050383
Portola,2025-01,107,6,72,10,2,8,5,8,18.835986608688128
Portola,2025-02,67,7,26,9,3,7,7,8,31.225134570204535
Portola,2025-03,60,4,39,7,4,1,4,7,26.075014467592595
Portola,2025-04,47,2,24,7,2,1,7,8,31.76601222826087
Portola,2025-05,64,3,36,7,5,7,1,8,15.815242693865741
Portola,2025-06,46,1,19,13,4,1,4,8,25.2658572363124
Portola,2025-07,54,6,13,10,5,3,9,8,16.35601316015089
Portola,2025-08,37,1,9,14,1,6,3,8,28.834210773273274
Portola,2025-09,43,4,9,6,5,4,3,9,14.357582947530865
Portola,2025-10,55,9,13,15,1,5,6,8,9.656225137174212
Portola,2025-11,51,4,17,13,4,3,4,8,10.734690904139432
Portola,2025-12,56,9,19,10,3,2,9,7,9.481692915013227
Potrero Hill,2024-01,59,5,15,15,0,20,4,5,13.262664783427496
Potrero Hill,2024-02,52,11,9,12,0,8,12,5,6.829962606837607
Potrero Hill,2024-03,27,10,6,1,0,5,5,5,9.42727280521262
Potrero Hill,2024-04,33,5,11,3,0,9,5,5,8.783670384399551
Potrero Hill,2024-05,36,3,13,9,0,8,3,5,2.408887924382716
Potrero Hill,2024-06,31,1,10,8,0,5,2,7,8.112643369175627
Potrero Hill,2024-07,58,2,10,16,1,14,9,8,9.782262132822478
Potrero Hill,2024-08,68,12,6,20,5,10,8,8,26.10504857603816
Potrero Hill,2024-09,57,9,8,11,5,6,4,8,38.528174663299666
Potrero Hill,2024-10,59,8,14,19,2,3,5,8,21.15288314176245
Potrero Hill,2024-11,64,8,21,16,2,3,5,8,12.321104166666666
Potrero Hill,2024-12,43,6,14,11,0,6,1,6,24.835274746472663
Potrero Hill,2025-01,46,4,5,16,9,8,2,7,9.209828401771336
Potrero Hill,2025-02,75,5,11,18,4,27,7,9,19.729063282032033
Potrero Hill,2025-03,79,5,19,15,6,16,6,8,29.445849655745487
Potrero Hill,2025-04,71,6,18,22,0,16,0,6,11.556841116478799
Potrero Hill,2025-05,62,10,15,12,2,13,5,8,18.252596766848818
Potrero Hill,2025-06,113,4,33,16,7,39,1,8,19.7136127186214
Potrero Hill,2025-07,77,9,16,18,8,8,8,8,16.600926226551223
Potrero Hill,2025-08,61,12,14,14,2,6,4,8,14.160676608986034
Potrero Hill,2025-09,68,6,13,15,3,12,6,8,7.4235515132669985
Potrero Hill,2025-10,64,4,8,22,5,12,5,8,10.105270980305702
Potrero Hill,2025-11,81,13,12,19,5,22,0,7,9.214176383173296
Potrero Hill,2025-12,74,14,13,14,5,14,4,9,10.580566034784784
Presidio,2024-01,1,1,0,0,0,0,0,1,0.5541666666666667
Presidio,2024-04,3,2,0,0,0,1,0,2,28.80351851851852
Presidio,2024-05,2,1,0,0,0,1,0,2,9.904212962962964
Presidio,2024-06,5,2,0,0,0,3,0,2,11.930689814814816
Presidio,2024-07,5,2,0,0,0,2,0,3,5.41168287037037
Presidio,2024-08,6,0,2,1,0,1,0,5,109.91351080246913
Presidio,2024-09,2,0,0,0,0,2,0,1,5.143530092592592
Presidio,2024-10,2,0,0,0,0,0,0,1,0.7860590277777777
Presidio,2024-11,2,1,0,1,0,0,0,2,1.007048611111111
Presidio,2024-12,3,0,1,1,0,1,0,3,59.736909722222215
Presidio,2025-02,2,0,0,1,0,1,0,2,2.830642361111111
Presidio,2025-03,2,1,1,0,0,0,0,2,95.23402199074074
Presidio,2025-04,1,0,0,0,0,0,0,1,3.1684953703703704
Presidio,2025-05,3,1,0,0,0,2,0,2,2.599579475308642
Presidio,2025-06,1,0,0,0,0,0,0,1,3.939189814814815
Presidio,2025-07,2,0,0,0,0,2,0,1,18.618645833333332
Presidio,2025-08,1,0,0,0,0,1,0,1,0.7373032407407407
Presidio,2025-10,1,0,0,0,0,0,0,1,79.95083333333334
Presidio,2025-11,3,0,1,2,0,0,0,2,0.8443557098765432
Presidio,2025-12,1,0,0,1,0,0,0,1,0.037453703703703704
Presidio Heights,2024-01,29,3,6,9,0,10,1,5,20.687074553001278
Presidio Heights,2024-02,39,1,7,12,0,7,12,5,13.442826745014244
Presidio Heights,2024-03,18,3,3,5,0,6,1,5,7.405404449588477
Presidio Heights,2024-04,12,1,2,3,0,3,3,5,7.058394097222222
Presidio Heights,2024-05,12,2,0,1,0,7,2,4,10.200291280864198
Presidio Heights,2024-06,19,0,3,6,0,3,5,6,43.51281121399177
Presidio Heights,2024-07,28,2,2,4,0,5,7,7,43.301222718253975
Presidio Heights,2024-08,39,6,4,7,1,4,6,9,38.40568591617934
Presidio Heights,2024-09,43,5,4,12,4,4,2,8,18.95099860034453
Presidio Heights,2024-10,41,3,7,5,5,6,1,8,22.68526475694444
Presidio Heights,2024-11,61,5,5,24,3,3,7,8,22.799285632969035
Presidio Heights,2024-12,57,0,5,26,3,7,7,7,11.39458664021164
Presidio Heights,2025-01,39,1,5,3,6,7,5,8,22.774848646723648
Presidio Heights,2025-02,39,1,1,12,2,8,4,8,15.9160294834308
Presidio Heights,2025-03,42,2,10,8,0,5,7,7,11.146981142728094
Presidio Heights,2025-04,24,0,4,6,4,4,3,7,43.610648630401236
Presidio Heights,2025-05,47,3,7,5,0,22,2,8,11.600632296698873
Presidio Heights,2025-06,52,2,8,2,3,16,4,8,16.39615763888889
Presidio Heights,2025-07,35,5,2,1,0,11,4,7,6.962703373015874
Presidio Heights,2025-08,26,5,3,2,0,6,3,7,19.65269186253561
Presidio Heights,2025-09,55,8,8,13,4,11,1,8,17.87923202614379
Presidio Heights,2025-10,47,9,8,7,1,4,6,8,21.2106478909465
Presidio Heights,2025-11,59,8,13,10,3,11,5,8,14.544058708492974
Presidio Heights,2025-12,61,6,5,22,4,11,7,8,10.031399893746205
Russian Hill,2024-01,36,6,3,21,0,4,2,5,8.3702154063786
Russian Hill,2024-02,48,5,1,22,0,6,14,5,5.18244140625
Russian Hill,2024-03,19,2,7,3,0,5,2,5,11.66869212962963
Russian Hill,2024-04,34,8,4,5,0,11,6,5,9.885034381808278
Russian Hill,2024-05,26,3,3,10,0,7,3,5,5.368254985754986
Russian Hill,2024-06,39,5,11,7,1,5,5,7,48.32975961538462
Russian Hill,2024-07,47,5,9,9,1,2,9,9,38.48940011820331
Russian Hill,2024-08,35,8,8,2,0,1,6,7,58.6013136574074
Russian Hill,2024-09,74,9,19,12,0,5,9,7,29.406620048868312
Russian Hill,2024-10,55,2,12,14,2,2,9,8,26.452403913347307
Russian Hill,2024-11,85,6,16,31,1,4,17,8,21.03707580321285
Russian Hill,2024-12,64,4,7,16,5,7,11,9,12.743079788773148
Russian Hill,2025-01,49,6,10,5,3,7,7,8,47.019722930839
Russian Hill,2025-02,77,10,9,18,2,10,10,8,28.589416975308644
Russian Hill,2025-03,78,7,6,13,3,25,11,8,47.30849612193362
Russian Hill,2025-04,57,5,17,12,0,7,6,8,45.53503661616161
Russian Hill,2025-05,58,4,14,5,3,15,4,8,22.273533950617285
Russian Hill,2025-06,66,6,17,6,5,9,5,9,26.77185908564815
Russian Hill,2025-07,68,8,14,5,4,9,4,8,14.08529868021006
Russian Hill,2025-08,71,14,10,10,4,11,5,9,18.757178609769188
Russian Hill,2025-09,116,8,13,25,3,23,3,8,9.781928835372069
Russian Hill,2025-10,77,15,12,20,0,13,6,7,18.02905648749399
Russian Hill,2025-11,68,13,17,14,4,4,5,9,8.604612608932461
Russian Hill,2025-12,72,8,17,21,7,2,6,8,6.938449735449736
Seacliff,2024-01,15,0,1,7,0,4,3,4,7.507918981481481
Seacliff,2024-02,6,1,0,1,0,0,4,3,23.594373070987654
Seacliff,2024-03,1,0,0,0,0,0,1,1,2.9016319444444445
Seacliff,2024-04,7,1,1,0,0,3,2,4,18.568758267195765
