neighborhood,year_month,total_311_count,count_street_pavement,count_sidewalk_curb,count_sewer_drainage,count_streetlights,count_traffic_signs,count_trees,distinct_issue_groups,avg_closure_days,total_fire_count,count_fire_building,count_fire_electrical,count_fire_gas,count_fire_water,total_fire_injuries,avg_suppression_units
Haight Ashbury,2025-04,147,14,70,7,4,33,10,9,37.7573892535515,3,2,0,1,0,0,3.6666666666666665
Haight Ashbury,2025-05,104,7,35,8,5,28,7,8,24.064428487953975,4,0,1,3,0,0,2.5
Haight Ashbury,2025-06,182,32,37,14,1,58,14,9,19.235945776432857,6,1,2,3,0,0,3.3333333333333335
Haight Ashbury,2025-07,122,18,9,8,1,66,8,9,22.643474344135804,4,0,1,1,2,0,1.0
Haight Ashbury,2025-08,112,23,5,13,8,35,10,8,18.159643939393938,3,0,0,3,0,0,1.6666666666666667
Haight Ashbury,2025-09,124,32,15,10,2,39,3,8,20.271447518214934,1,0,0,1,0,0,2.0
Haight Ashbury,2025-10,154,23,16,24,6,43,15,9,13.412748577826191,3,1,0,1,1,0,4.333333333333333
Haight Ashbury,2025-11,129,24,13,22,3,35,6,8,13.627962155469422,3,0,1,1,1,0,1.6666666666666667
Haight Ashbury,2025-12,116,14,7,25,7,35,6,8,6.520976283300845,3,1,1,0,1,0,5.666666666666667
Hayes Valley,2024-01,78,8,19,22,0,19,10,5,13.361093898385565,2,0,0,2,0,0,3.0
Hayes Valley,2024-02,172,11,39,34,0,60,28,5,10.928650476421188,10,0,6,1,3,0,1.2
Hayes Valley,2024-03,91,16,18,6,0,39,12,5,8.619457799145298,5,0,4,0,1,0,1.0
Hayes Valley,2024-04,75,5,26,9,0,25,10,5,6.74026712962963,8,1,2,3,2,0,2.5
Hayes Valley,2024-05,70,10,26,3,0,25,6,5,6.043379298941799,6,3,1,1,1,2,6.666666666666667
Hayes Valley,2024-06,80,6,31,12,2,13,9,8,17.66072990859449,4,0,1,0,3,0,2.0
Hayes Valley,2024-07,129,8,54,20,13,8,13,8,67.00743524029983,5,0,1,1,3,0,1.4
Hayes Valley,2024-08,94,5,35,5,7,14,14,8,38.01936773542159,8,1,3,2,2,0,1.5
Hayes Valley,2024-09,142,11,71,14,5,11,7,9,32.96127265910277,5,0,2,3,0,0,2.2
Hayes Valley,2024-10,107,13,42,12,9,8,11,9,22.302478380503146,1,0,0,0,1,0,1.0
Hayes Valley,2024-11,110,3,38,14,15,7,14,9,25.15119467804961,6,1,1,2,2,0,3.3333333333333335
Hayes Valley,2024-12,95,4,35,14,5,8,12,8,29.23567560579196,6,0,1,2,3,0,2.0
Hayes Valley,2025-01,111,17,34,15,6,17,6,8,37.5455293280666,10,1,4,4,1,0,3.2
Hayes Valley,2025-02,133,5,33,20,7,42,13,8,22.40059245335561,5,0,1,2,2,0,2.6
Hayes Valley,2025-03,104,10,28,14,5,22,6,8,15.978695613088815,6,0,2,1,3,0,1.8333333333333333
Hayes Valley,2025-04,129,23,48,12,7,17,7,8,29.993313101487313,5,0,2,1,2,0,1.6
Hayes Valley,2025-05,121,15,27,17,9,19,12,8,20.46686390817901,7,1,3,1,2,0,3.2857142857142856
Hayes Valley,2025-06,135,19,20,15,5,42,14,8,15.618824530022446,9,2,6,1,0,0,3.2222222222222223
Hayes Valley,2025-07,132,33,17,5,3,38,11,9,19.714733796296297,5,1,3,1,0,0,2.4
Hayes Valley,2025-08,114,22,12,2,7,25,25,8,24.841826757620453,2,0,0,1,1,0,2.0
Hayes Valley,2025-09,187,50,15,11,3,52,25,9,17.527490365365367,10,2,0,6,2,0,3.9
